Period,Dependente,Independente,Dickey-Fuller,ADF,Beta,HalfLife,Hurst,Corr,Signal,SignalStr,PeriodQt,PeriodStr
220,ECOR3,MRVE3,0.00029227148962488397,99,0.7312494132987424,20,0.429876157711149,0.6999649157083766,0.03271373534691468,Long/Short,4,"120,180,200,220"
250,ECOR3,QUAL3,0.0031876081986227482,99,0.34244222808067304,6,0.3958652470118718,0.9361410172916552,0.2153775453874034,Short/Long,5,"180,200,220,240,250"
180,ECOR3,RADL3,0.0407500105795171,95,0.260325400321666,24,0.46202087161277533,0.635446770269417,0.27154535130675617,Long/Short,4,"100,120,160,180"
220,ECOR3,RENT3,0.03342725520569481,95,0.2946191107803615,19,0.395208938453987,0.8343321576257855,0.06776845065585499,Short/Long,6,"100,140,160,180,200,220"
120,ECOR3,SANB11,0.013811492156534546,95,0.3640099197118011,27,0.5515653528875174,0.5301431208627492,0.30044783694667526,Short/Long,1,120
220,ECOR3,SBSP3,0.029630000282831352,95,0.27461680301445024,16,0.4027185506366071,0.8487064846848085,0.5999818220598796,Long/Short,2,"100,220"
250,ECOR3,SULA11,0.016351871031979513,95,0.272793093059218,8,0.4177929534597738,0.9229675781989136,0.12802855063444976,Short/Long,4,"200,220,240,250"
250,ECOR3,TAEE11,0.0035062736293254033,99,1.4542424250361765,6,0.26824230989590686,0.8902024314027601,0.1349780082620484,Short/Long,9,"100,120,140,160,180,200,220,240,250"
160,ECOR3,TIMP3,0.04216286923835648,95,1.4367741038359556,26,0.43944085245754266,0.6979864900314022,0.2654628986469647,Long/Short,4,"100,120,140,160"
250,ECOR3,UGPA3,0.013120399135942373,95,0.5586383709949296,12,0.4139242147294061,0.8678849840177368,0.16801854931229349,Short/Long,8,"120,140,160,180,200,220,240,250"
240,ECOR3,USIM5,0.04763424931801725,95,1.1046809596452452,18,0.42439053842368907,0.7266978163738335,0.023284735589114373,Short/Long,8,"100,120,140,160,180,200,220,240"
250,ECOR3,VIVT4,0.012286532905210092,95,0.5245058935522039,12,0.30764991540284997,0.8003907751802325,0.6929375595985946,Short/Long,6,"160,180,200,220,240,250"
250,EGIE3,ENBR3,0.00506968814965577,99,1.9158552537691638,7,0.40899767627173816,0.9367204771294143,0.10864888403264948,Long/Short,7,"140,160,180,200,220,240,250"
100,EGIE3,EQTL3,0.04309497526921269,95,1.3104229024318577,26,0.555705549279565,0.006560138958763418,0.4314285780114543,Long/Short,1,100
240,EGIE3,FLRY3,0.03667236079408667,95,1.0039482404358142,11,0.3570433328670243,0.8546526298559172,0.5791880880113595,Long/Short,8,"100,120,140,160,180,200,220,240"
220,EGIE3,GGBR4,0.04147223983828638,95,1.1118780342462307,9,0.4121483317345555,0.8682199183413482,0.9663259709729213,Long/Short,1,220
220,EGIE3,GOAU4,0.019352694163415583,95,2.3364947388284167,7,0.40170582678027034,0.8997729820972707,1.0002536649718805,Long/Short,2,"200,220"
120,EGIE3,GOLL4,0.045165036604223996,95,0.4753012276464672,15,0.4400222935741633,0.7120260206084266,0.14061845788617575,Long/Short,1,120
120,EGIE3,HGTX3,0.04504649983673057,95,0.777630204443698,21,0.5480344085079374,0.5718137803571811,0.022524169401756743,Long/Short,2,"100,120"
220,EGIE3,HYPE3,0.02304217750325606,95,1.178991829930009,16,0.34260205160148577,0.6692530815097517,0.709666051913657,Long/Short,3,"100,200,220"
250,EGIE3,IGTA3,0.020189253503631467,95,0.4463862103205224,9,0.3568085811516837,0.8846407468940002,0.3666105294007797,Short/Long,8,"100,120,140,160,180,220,240,250"
140,EGIE3,IRBR3,0.02900003801319115,95,0.3345315228307616,22,0.5366421445120767,0.28318077873572756,0.31108785684887913,Long/Short,1,140
120,EGIE3,ITSA4,0.0032208768002397847,99,2.688866341625397,16,0.48248393683188456,0.7429586432689558,0.0024906214914072007,Long/Short,2,"100,120"
120,EGIE3,ITUB4,0.0036014132340111563,99,1.0439512034144562,17,0.47908405810310056,0.6820062842513137,0.08181968096273276,Long/Short,2,"100,120"
250,EGIE3,LREN3,0.011202922259434074,95,0.5118392468753555,8,0.32519244883484694,0.89814477099942,0.03516346858413849,Short/Long,9,"100,120,140,160,180,200,220,240,250"
250,EGIE3,MRVE3,0.011182681758767509,95,1.2571678715754342,8,0.311586559476175,0.8436129466662263,0.659573596332982,Long/Short,3,"220,240,250"
250,EGIE3,MULT3,0.004429768304775857,99,0.7868964419718445,7,0.2991401574237582,0.9057957069337244,0.5161094450245644,Short/Long,9,"100,120,140,160,180,200,220,240,250"
220,EGIE3,QUAL3,1.1664097119417828e-05,99,0.601810722168106,14,0.48566974708063815,0.7773288030154094,0.47172458312625587,Long/Short,6,"120,140,160,180,200,220"
120,EGIE3,RADL3,0.018800071069811436,95,0.5495673260417744,29,0.5114519371142027,0.29312634010936334,0.5119748318390869,Long/Short,2,"100,120"
250,EGIE3,RENT3,0.048997181232727366,90,0.49475150527430173,11,0.4195132200960712,0.8441467279007252,0.569965622214513,Long/Short,1,250
140,EGIE3,SANB11,0.03926658815813831,95,0.5555974013754837,17,0.48276472154507394,0.6674636934183936,0.00058147943740447,Long/Short,3,"100,120,140"
220,EGIE3,SULA11,0.02021776470353249,95,0.4471240375674311,12,0.4234812320560328,0.7935868420696515,0.5170971276362142,Long/Short,2,"200,220"
250,EGIE3,TAEE11,0.04342031562044059,95,2.3841347405025766,10,0.32404750698170554,0.8687064878256439,0.5785661460183077,Long/Short,4,"180,200,220,250"
160,EGIE3,TIMP3,0.02240155009803079,95,2.5992790547379916,26,0.39889126419930504,0.629063148210838,0.6748662067080777,Long/Short,4,"100,120,140,160"
250,EGIE3,UGPA3,0.006667509711802425,99,0.9688532097685019,8,0.379723912258489,0.8959415899395294,0.5748981710920339,Long/Short,4,"200,220,240,250"
250,EGIE3,USIM5,0.026860712282044,95,2.0756334338622633,7,0.3988559075565982,0.8823990380301514,0.6498748719853107,Long/Short,2,"240,250"
250,EGIE3,VIVT4,0.006610829623933025,99,0.9456701065525002,7,0.33024219726210835,0.8589772584776164,0.2108493870034165,Short/Long,8,"120,140,160,180,200,220,240,250"
250,ELET3,ELET6,0.028370753938107836,95,1.0921447591444142,7,0.407511115890576,0.9920402383738475,0.4632162577021663,Short/Long,7,"120,160,180,200,220,240,250"
160,ELET3,ENBR3,0.016078691436757202,95,2.5210174839704176,27,0.4234906544815407,0.7758030704805178,0.03253577655234448,Short/Long,3,"120,140,160"
140,ELET3,ENGI11,0.03142497475461309,95,0.9413214474045722,36,0.4403013966740883,0.628187390525989,0.33428138121435963,Long/Short,2,"100,140"
100,ELET3,EQTL3,0.00265518847423877,99,1.7034672689609716,20,0.5135267030207757,0.6451294893675662,0.04918922757176783,Long/Short,1,100
200,ELET3,FLRY3,0.023148625468313335,95,1.2706156364610717,46,0.42587502305602265,0.46911525978091567,0.2653034833803054,Long/Short,5,"100,120,140,160,200"
160,ELET3,GGBR4,0.0016783562857560757,99,1.573307188022334,50,0.48423438633317323,0.4303056979296305,0.36558145119930524,Long/Short,4,"100,120,140,160"
200,ELET3,GOAU4,0.04927389626811066,90,2.598040987597723,48,0.46862913929931027,0.5059907946513534,0.3580654310057821,Long/Short,5,"100,120,140,160,200"
250,ELET3,GOLL4,0.0381742804178483,95,0.5897267397436515,10,0.4290583172785395,0.8956814434577395,0.2572492192436596,Short/Long,7,"120,140,160,180,200,240,250"
180,ELET3,HYPE3,0.038605208806538276,95,1.6889396045172267,45,0.37386640973154056,0.3965239001277035,0.3951254267319571,Long/Short,3,"100,160,180"
200,ELET3,IGTA3,0.028638651882433325,95,0.6733493018208432,21,0.40452268649014866,0.8145092758833231,0.4302072835009755,Short/Long,1,200
250,ELET3,IRBR3,0.031015181142489516,95,0.15683642430386538,11,0.3747896159773696,0.7688549371100963,0.09568838052932886,Short/Long,4,"160,180,240,250"
200,ELET3,ITSA4,0.004305329836115495,99,3.0612272908084055,16,0.4215092140241838,0.8567999701093704,0.37083042558516943,Short/Long,3,"120,180,200"
250,ELET3,ITUB4,0.019856308421878553,95,1.1480124489959125,12,0.42142037630955387,0.8773818946078878,0.36267837289531285,Short/Long,5,"120,180,200,240,250"
220,ELET3,JBSS3,0.03867692850711123,95,1.6274815039010502,12,0.4619682557269668,0.7805007453199913,0.2692280349730028,Short/Long,1,220
200,ELET3,LREN3,0.012387883511695267,95,0.7567620348487322,20,0.34145583390662665,0.7961189787120171,0.15037953882042832,Short/Long,6,"100,120,140,160,180,200"
200,ELET3,MRVE3,0.02817679818178436,95,1.96179512509933,16,0.4066613635835565,0.8021384034056518,0.3876446542920511,Long/Short,6,"100,120,140,160,180,200"
200,ELET3,MULT3,0.020781123131948086,95,1.0827487541929537,29,0.4150767851032942,0.7261713300461841,0.31393536110610876,Short/Long,3,"160,180,200"
200,ELET3,PETR3,0.0036782147942206376,99,0.9601267160670898,17,0.46016981779631294,0.8473355539244143,0.04455370327485133,Short/Long,6,"100,120,140,160,180,200"
200,ELET3,PETR4,0.004431969491714705,99,1.076923914043953,20,0.46550914078505223,0.821621509597145,0.007994558745477129,Short/Long,6,"100,120,140,160,180,200"
200,ELET3,QUAL3,0.03477043111349727,95,0.7393413480662756,43,0.46508250980653815,0.4429944353496593,0.25570208021767377,Long/Short,2,"160,200"
120,ELET3,RADL3,0.040521273132338005,95,0.6729118923558975,30,0.5459042324646778,-0.23526970024758487,0.2707472355584925,Long/Short,2,"100,120"
180,ELET3,RENT3,0.03367242978955207,95,0.7115742788085064,20,0.35999828580501375,0.7887034364060759,0.3048222986347145,Long/Short,5,"100,120,140,160,180"
200,ELET3,SANB11,0.020924238367224127,95,0.7040230010994922,15,0.45109185067390783,0.854432437696711,0.47670527641918425,Short/Long,2,"180,200"
100,ELET3,SBSP3,0.003120113991118463,99,0.5537083538174079,50,0.471540787549343,0.6553121115934478,0.6397731795257636,Long/Short,1,100
