Date,FLRY3.SA,LREN3.SA
2020-03-31,20.239999771118164,33.18986129760742
2020-04-01,20.0,31.89430809020996
2020-04-02,20.200000762939453,31.785520553588867
2020-04-03,19.209999084472656,30.618534088134766
2020-04-06,20.0,34.36673355102539
2020-04-07,21.389999389648438,36.5919189453125
2020-04-08,21.639999389648438,37.333648681640625
2020-04-09,21.549999237060547,36.17655563354492
2020-04-13,21.34000015258789,35.64250946044922
2020-04-14,22.399999618530273,35.66228485107422
2020-04-15,22.479999542236328,35.35570526123047
2020-04-16,22.719999313354492,35.25680923461914
2020-04-17,23.719999313354492,37.481689453125
2020-04-20,24.579999923706055,38.98095703125
2020-04-22,24.25,40.91001510620117
2020-04-23,24.200000762939453,39.43073654174805
2020-04-24,23.110000610351562,37.65160369873047
2020-04-27,23.399999618530273,38.6411247253418
