Period,Dependent,Independent,Dickey-Fuller,ADF,Beta,Std,HalfLife,SignalStr,Corr,PeriodQt,PeriodStr
180,BRKM5,MULT3,-3.0166692954907317,95,1.0621013193189297,1.5136814317319116,8,Long/Short,0.5989080733369588,3,"180,220,250"
120,BRKM5,PETR3,-3.8595489650269283,99,1.6877270887107136,0.4149461193397639,4,Long/Short,0.5587855370450839,8,"120,140,160,180,200,220,240,250"
120,BRKM5,PETR4,-3.286005382446849,95,1.8333397782749326,0.5018844719680516,4,Long/Short,0.5435441976167248,8,"120,140,160,180,200,220,240,250"
160,BRKM5,RAIL3,-3.288077545617796,95,2.097812007143345,0.0692524693899094,5,Short/Long,0.5845099504618781,3,"160,240,250"
220,BRKM5,RENT3,-3.0427659528495092,95,0.4717326124744154,1.6215932733924947,9,Long/Short,0.6158344646851732,3,"220,240,250"
200,BRKM5,SANB11,-2.926356117633726,95,0.7456565012296621,1.3588463956518482,11,Long/Short,0.6312633536673876,4,"200,220,240,250"
180,BRKM5,SULA11,-3.0070271406920797,95,0.5544611179311683,0.5425621457857955,7,Long/Short,0.6775997747664493,5,"180,200,220,240,250"
140,BRKM5,TAEE11,-3.038614236185379,95,2.67213955624306,1.9837299323992283,6,Long/Short,0.6538718102525091,6,"140,160,180,220,240,250"
120,BRKM5,TOTS3,-3.194588098378223,95,-0.17293250697295773,1.2628582088299967,4,Long/Short,0.19874596479542436,1,120
140,BRKM5,UGPA3,-2.9057138759436505,95,1.2159815892667991,2.002657011331487,7,Long/Short,0.7004985400267371,7,"140,160,180,200,220,240,250"
220,BRKM5,USIM5,-2.995834910601593,95,1.8624711327780386,2.407161190017535,11,Long/Short,0.7177513959644648,3,"220,240,250"
120,BRKM5,VALE3,-3.1301353975580724,95,0.9753708412651839,0.3874611829413134,4,Long/Short,0.5202325483357916,8,"120,140,160,180,200,220,240,250"
120,BRKM5,VIVT4,-3.1460342120130798,95,-0.5267419915204591,1.9662072553977092,5,Long/Short,0.2885956829625817,4,"120,220,240,250"
220,BRKM5,VVAR3,-2.9245742272087125,95,1.0180926606706886,1.2900007073073223,10,Long/Short,0.6524696522758043,2,"220,240"
120,BRKM5,WEGE3,-3.422327000778363,95,-0.37841564057122307,2.2714575518885165,4,Long/Short,0.2794363577141265,1,120
120,BRML3,BTOW3,-3.077126891292272,95,0.025368533198462613,0.44097255174798977,4,Long/Short,0.3386129616298609,2,"120,160"
100,BRML3,CCRO3,-3.871224937121637,99,0.6440371292930159,1.0999093154724138,3,Long/Short,0.6421532044920047,5,"100,120,140,160,180"
120,BRML3,CIEL3,-3.6553040683576867,99,0.8777387483267118,0.8371842777827214,3,Long/Short,0.46951013650744244,3,"120,140,160"
100,BRML3,CMIG4,-3.7712761161435924,99,0.8428684948069917,0.7412559725332937,3,Long/Short,0.6310579014914128,6,"100,120,140,160,180,200"
100,BRML3,COGN3,-3.0146997938806703,95,0.4869161652668189,0.21213753309804906,4,Short/Long,0.559458276324882,5,"100,120,140,160,180"
100,BRML3,CPFE3,-2.9593105381394977,95,0.2671063511690849,0.6451897164776934,6,Long/Short,0.47270336191823653,3,"100,180,200"
120,BRML3,CRFB3,-3.1806448591018164,95,-0.005494607569650339,1.062698055705575,4,Long/Short,0.3283455810108781,1,120
120,BRML3,CSAN3,-2.9582159202080436,95,0.13323053646187932,0.5718326243671202,5,Short/Long,0.689710910582397,5,"120,140,160,180,200"
120,BRML3,CSNA3,-3.327106658254996,95,0.4070779804471103,1.391538985680404,4,Long/Short,0.5291417834053158,3,"120,140,160"
100,BRML3,CVCB3,-3.639248136957745,99,0.26435627518943006,0.017752973293970263,3,Long/Short,0.622616879965791,4,"100,120,140,160"
100,BRML3,CYRE3,-2.9397542418186537,95,0.25232628906982363,0.24558657218256885,4,Short/Long,0.7563364167947373,5,"100,120,140,160,180"
100,BRML3,ECOR3,-4.634758408554842,99,0.6617635585531458,0.20417309617207294,2,Long/Short,0.6518287058012859,7,"100,120,140,160,180,200,220"
100,BRML3,EGIE3,-3.9749624544881375,99,0.47826137464073304,0.6211225017612872,2,Long/Short,0.5319836267083509,9,"100,120,140,160,180,200,220,240,250"
100,BRML3,ELET3,-2.8847258550969657,90,0.21555261867456826,1.00703768951003,4,Long/Short,0.5572950725487159,5,"100,120,140,160,180"
120,BRML3,ELET6,-3.7140432525555096,99,0.24943065649755541,0.7766310437702414,3,Long/Short,0.6602918557945675,4,"120,140,160,180"
120,BRML3,EMBR3,-3.7029566503051905,99,0.5978697027869699,1.512144027118973,3,Long/Short,0.6434753579336597,8,"120,140,160,180,200,220,240,250"
100,BRML3,ENBR3,-4.349235414766031,99,0.918474890246362,2.457446219638027,3,Long/Short,0.5292093850063633,8,"100,120,140,160,180,200,220,240"
100,BRML3,ENGI11,-3.560408526812977,99,0.2543382371338951,0.03955647359194325,3,Long/Short,0.5962537796225985,5,"100,120,180,200,220"
100,BRML3,EQTL3,-3.3164636409533053,95,0.44581381328622927,0.09154260228228511,4,Long/Short,0.5111853051925727,5,"100,120,140,160,180"
100,BRML3,FLRY3,-4.816160295299736,99,0.46655192279168567,3.3771320568992937,2,Long/Short,0.4535353660803678,9,"100,120,140,160,180,200,220,240,250"
120,BRML3,GGBR4,-3.222175466755419,95,0.4203560132095855,1.2088659672066644,4,Long/Short,0.6272175698888636,7,"120,140,160,180,200,220,250"
100,BRML3,GNDI3,-3.066389657515416,95,0.15450554474966688,1.5791418803850135,4,Long/Short,0.35066467982226723,3,"100,160,180"
100,BRML3,GOAU4,-3.006025367394471,95,1.0368465932841786,0.9997815295833482,5,Long/Short,0.39652847982915534,8,"100,120,140,160,180,200,220,250"
100,BRML3,GOLL4,-3.552350112737395,99,0.2536616948449825,0.6990454010479401,3,Long/Short,0.583408506261891,5,"100,120,140,160,180"
100,BRML3,HAPV3,-3.351805881829404,95,0.1905812326125302,1.6518156029450055,4,Long/Short,0.4063144028373817,1,100
